ds,y
2005-01-31,293261
2005-02-28,295062
2005-03-31,339141
2005-04-30,335632
2005-05-31,345348
2005-06-30,350945
2005-07-31,351827
2005-08-31,355701
2005-09-30,333289
2005-10-31,336134
2005-11-30,343798
2005-12-31,405608
2006-01-31,318546
2006-02-28,314051
2006-03-31,361993
2006-04-30,351667
2006-05-31,373560
2006-06-30,366615
2006-07-31,362203
2006-08-31,375795
2006-09-30,346214
2006-10-31,348796
2006-11-30,356928
2006-12-31,417991
2007-01-31,328877
2007-02-28,323162
2007-03-31,374142
2007-04-30,358535
2007-05-31,391512
2007-06-30,376639
2007-07-31,372354
2007-08-31,388016
2007-09-30,353936
2007-10-31,368681
2007-11-30,377802
2007-12-31,426077
2008-01-31,342639
2008-02-29,343893
2008-03-31,372907
2008-04-30,368920
2008-05-31,397956
2008-06-30,378507
2008-07-31,383726
2008-08-31,382862
2008-09-30,350542
2008-10-31,349847
2008-11-30,335545
2008-12-31,384236
2009-01-31,310188
2009-02-28,299412
2009-03-31,328526
2009-04-30,329854
2009-05-31,347728
2009-06-30,344405
2009-07-31,348071
2009-08-31,353392
2009-09-30,324646
2009-10-31,338610
2009-11-30,339363
2009-12-31,400281
2010-01-31,314557
2010-02-28,310925
2010-03-31,360679
2010-04-30,356333
2010-05-31,365605
2010-06-30,358604
2010-07-31,361939
2010-08-31,362627
2010-09-30,345999
2010-10-31,355209
2010-11-30,365828
2010-12-31,426663
2011-01-31,335587
2011-02-28,337314
2011-03-31,387088
2011-04-30,380775
2011-05-31,391999
2011-06-30,388700
2011-07-31,384682
2011-08-31,394609
2011-09-30,375025
2011-10-31,379482
2011-11-30,391220
2011-12-31,451821
2012-01-31,355184
2012-02-29,372401
2012-03-31,414149
2012-04-30,392949
2012-05-31,418608
2012-06-30,400975
2012-07-31,396026
2012-08-31,417922
2012-09-30,385609
2012-10-31,399400
2012-11-30,411065
2012-12-31,462102
2013-01-31,375468
2013-02-28,373974
2013-03-31,421748
2013-04-30,408551
2013-05-31,437214
2013-06-30,414816
2013-07-31,422532
2013-08-31,435215
2013-09-30,396415
2013-10-31,415942
2013-11-30,424095
2013-12-31,477362
2014-01-31,383488
2014-02-28,380454
2014-03-31,433052
2014-04-30,431598
2014-05-31,459441
2014-06-30,433458
2014-07-31,443498
2014-08-31,451663
2014-09-30,421628
2014-10-31,438697
2014-11-30,439344
2014-12-31,502208
2015-01-31,398555
2015-02-28,388766
2015-03-31,446581
2015-04-30,439993
2015-05-31,465244
2015-06-30,450172
2015-07-31,459960
2015-08-31,458313
2015-09-30,432898
2015-10-31,446746
2015-11-30,446334
2015-12-31,518656
2016-01-31,401911
2016-02-29,415093
2016-03-31,460910
2016-04-30,451121
2016-05-31,470116
2016-06-30,464721
2016-07-31,462004
2016-08-31,471690
2016-09-30,448516
2016-10-31,453155
2016-11-30,467232
2016-12-31,539667
